"Статус сверки";"Артикул";"Номенклатура Excel";"Номенклатура 1С";"Единица Excel";"Единица 1С";"Тип Excel";"Вид номенклатуры 1С";"Тип номенклатуры 1С";"Плановая цена Excel";"Плановая цена 1С";"Дата цены 1С";"Ассортимент Excel";"Ассортимент 1С";"Группировка бренда Excel";"Группировка бренда 1С"
"OK";"OPF009_2";"OPENFACE Выравнивающий крем для тела с гликолевой кислотой Peel Me Please, кг";"OPENFACE Выравнивающий крем для тела с гликолевой кислотой Peel Me Please, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF021";"OPENFACE Легкий увлажняющий матирующий крем, 50 мл";"OPENFACE Легкий увлажняющий матирующий крем, 50 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF017_1";"OPENFACE Лимфодренажный крем с пептидом меди от отёков и тёмных кругов под глазами Agent Copp, кг";"OPENFACE Лимфодренажный крем с пептидом меди от отёков и тёмных кругов под глазами Agent Copp, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF017";"OPENFACE Лимфодренажный крем с пептидом меди от отёков и тёмных кругов под глазами Agent Copper";"OPENFACE Лимфодренажный крем с пептидом меди от отёков и тёмных кругов под глазами Agent Copper";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF004";"OPENFACE Липидовосстанавливающий крем для тела Moist wanted, 400 мл";"OPENFACE Липидовосстанавливающий крем для тела Moist wanted, 400 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"174.25";"174,25";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"OPF004_2";"OPENFACE Липидовосстанавливающий крем для тела Moist wanted, кг";"OPENFACE Липидовосстанавливающий крем для тела Moist wanted, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF015";"OPENFACE Лосьон для сияния с тремя формами витамина С GENERATION C, 150 мл";"OPENFACE Лосьон для сияния с тремя формами витамина С GENERATION C, 150 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF015_1";"OPENFACE Лосьон для сияния с тремя формами витамина С GENERATION C, 150 мл с термоусадкой";"OPENFACE Лосьон для сияния с тремя формами витамина С GENERATION C, 150 мл с термоусадкой";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF015_2";"OPENFACE Лосьон для сияния с тремя формами витамина С GENERATION C, кг";"OPENFACE Лосьон для сияния с тремя формами витамина С GENERATION C, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF005";"OPENFACE Лосьон с 3 формами гиалуроновой кислоты, 150 мл";"OPENFACE Лосьон с 3 формами гиалуроновой кислоты, 150 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"42.62";"42,62";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"OPF005_2";"OPENFACE Лосьон с 3 формами гиалуроновой кислоты, кг";"OPENFACE Лосьон с 3 формами гиалуроновой кислоты, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF008";"OPENFACE Отшелушивающая пенка для умывания с AHA-кислотами Glowbusters, 160 мл";"OPENFACE Отшелушивающая пенка для умывания с AHA-кислотами Glowbusters, 160 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"65.650000000000006";"65,65";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"OPF008_1";"OPENFACE Отшелушивающая пенка для умывания с AHA-кислотами Glowbusters, 160 мл с термоусадкой";"OPENFACE Отшелушивающая пенка для умывания с AHA-кислотами Glowbusters, 160 мл с термоусадкой";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"83.87";"83,87";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"OPF008_2";"OPENFACE Отшелушивающая пенка для умывания с AHA-кислотами Glowbusters, кг";"OPENFACE Отшелушивающая пенка для умывания с AHA-кислотами Glowbusters, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF012";"OPENFACE Себорегулирующая сыворотка с ниацинамидом NIACE PERSON 30 мл";"OPENFACE Себорегулирующая сыворотка с ниацинамидом NIACE PERSON 30 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"29.16";"29,16";"2025-12-17T16:23:50";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF012_1";"OPENFACE Себорегулирующая сыворотка с ниацинамидом NIACE PERSON, кг";"OPENFACE Себорегулирующая сыворотка с ниацинамидом NIACE PERSON, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF006_1";"OPENFACE Солнцезащитный флюид для лица SPF50+ Under Cover 50 мл с термоусадкой";"OPENFACE Солнцезащитный флюид для лица SPF50+ Under Cover 50 мл с термоусадкой";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"69.48";"69,48";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"OPF006";"OPENFACE Солнцезащитный флюид для лица SPF50+ Under Cover, 50 мл";"OPENFACE Солнцезащитный флюид для лица SPF50+ Under Cover, 50 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"63.63";"63,63";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"OPF006_2";"OPENFACE Солнцезащитный флюид для лица SPF50+ Under Cover, кг";"OPENFACE Солнцезащитный флюид для лица SPF50+ Under Cover, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF007";"OPENFACE Шампунь с кислотами, 100 мл";"OPENFACE Шампунь с кислотами, 100 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"34.75";"34,75";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"OPF007_1";"OPENFACE Шампунь с кислотами, 100 мл с термоусадкой";"OPENFACE Шампунь с кислотами, 100 мл с термоусадкой";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"47.42";"47,42";"2025-12-17T16:23:50";"Основной ассортимент";"Основной ассортимент";"СТМ";"СТМ"
"OK";"OPF001_1";"OPENFACE Шампунь с кислотами, кг";"OPENFACE Шампунь с кислотами, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF013";"OPENFACE Энзимная пудра со спикулами LET ME SPIC, 55 г";"OPENFACE Энзимная пудра со спикулами LET ME SPIC, 55 г";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"32.04";"32,04";"2025-12-17T16:23:50";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF013_1";"OPENFACE Энзимная пудра со спикулами LET ME SPIC, 55 г в термоусадке";"OPENFACE Энзимная пудра со спикулами LET ME SPIC, 55 г в термоусадке";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"39.200000000000003";"39,2";"2025-12-17T16:23:50";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"OPF013_2";"OPENFACE Энзимная пудра со спикулами LET ME SPIC, кг";"OPENFACE Энзимная пудра со спикулами LET ME SPIC, кг";"кг";"кг";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"НОВИНКА";"НОВИНКА";"СТМ";"СТМ"
"OK";"RIV006";"ORIENT GARDEN 9093К Крем для рук и ногтей увлажняющий восстанавливающий, 75 мл";"ORIENT GARDEN 9093К Крем для рук и ногтей увлажняющий восстанавливающий, 75 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"19.440000000000001";"19,44";"2025-12-17T16:23:50";"АРХИВ";"АРХИВ";"СТМ";"СТМ"
"OK";"RIV007";"ORIENT GARDEN 9109K Крем для рук и ногтей питательный разглаживающий, 75 мл";"ORIENT GARDEN 9109K Крем для рук и ногтей питательный разглаживающий, 75 мл";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"18.54";"18,54";"2025-12-17T16:23:50";"АРХИВ";"АРХИВ";"СТМ";"СТМ"
"OK";"RIV009";"ORIENT GARDEN Скраб для тела деликатный, 250 мл.";"ORIENT GARDEN Скраб для тела деликатный, 250 мл.";"шт";"шт";"Готовая продукция";"Готовая продукция";"Товар";"";;"";"ВЫВЕДЕНО";"ВЫВЕДЕНО";"СТМ";"СТМ"
